Chinese,Zhuyin
您,ㄋㄧㄣˊ
它,ㄊㄚˉ
大家,ㄉㄚˋㄐㄧㄚˉ
每,ㄇㄟˇ
为什么,ㄨㄟˋㄕㄣˊㄇㄜ˙
零,ㄌㄧㄥˊ
两,ㄌㄧㄤˇ
百,ㄅㄞˇ
千,ㄑㄧㄢ
第一,ㄉㄧˋㄧˉ
次,ㄘˋ
件,ㄐㄧㄢˋ
别,ㄅㄧㄝˊ
非常,ㄈㄟˉㄔㄤˊ
也,ㄧㄝ
还,ㄏㄞˊ
最,ㄗㄨㄟˋ
真,ㄓㄣˉ
正在,ㄓㄥˋㄗㄞˋ
已经,ㄧˇㄐㄧㄥˉ
一起,ㄧˋㄑㄧˇ
再,ㄗㄞˋ
就,ㄐㄧㄡˋ
因为,ㄧㄣㄨㄟˋ
所以,ㄙㄨㄛˇㄧˇ
虽然,ㄙㄨㄟㄖㄢˊ
但是,ㄉㄢˋㄕˋ
从,ㄘㄨㄥˊ
比,ㄅㄧˇ
往,ㄨㄤˇ
离,ㄌㄧˊ
得,ㄉㄜ˙
着,ㄓㄜ˙
过,ㄍㄨㄛˋ
吧,ㄅㄚ˙
机场,ㄐㄧˉㄔㄤˇ
教室,ㄐㄧㄠˋ ㄕˋ
房间,ㄈㄤˊ ㄐㄧㄢ
路,ㄌㄨˋ
左边,ㄗㄨㄛˇ ㄅㄧㄢ˙
右边,ㄧㄡˋ ㄅㄧㄢ˙
外,ㄨㄞˋ
旁边,ㄆㄤˊ ㄅㄧㄢ
一下,ㄧ ㄒㄧㄚˋ
早上,ㄗㄠˇ ㄕㄤ˙
晚上,ㄨㄢˇ ㄕㄤ˙
小时,ㄒㄧㄠˇ ㄕˊ
时间,ㄕˊ ㄐㄧㄢ
去年,ㄑㄩˋ ㄋㄧㄢˊ
日,ㄖˋ
生日,ㄕㄥ ㄖˋ
哥哥,ㄍㄜ ㄍㄜ˙
姐姐,ㄐㄧㄝˇ ㄐㄧㄝ˙
弟弟,ㄉㄧˋ ㄉㄧ˙
妹妹,ㄇㄟˋ ㄇㄟ˙
丈夫,ㄓㄤˋ ㄈㄨ˙
妻子,ㄑㄧ ㄗˇ
孩子,ㄏㄞˊ ㄗ˙
男人,ㄋㄢˊ ㄖㄣˊ
女人,ㄋㄩˇ ㄖㄣˊ
服务员,ㄈㄨˊ ㄨˋ ㄩㄢˊ
鱼,ㄩˊ
羊肉,ㄧㄤˊ ㄖㄡˋ
牛奶,ㄋㄧㄡˊ ㄋㄞˇ
鸡蛋,ㄐㄧ ㄉㄢˋ
西瓜,ㄒㄧ ㄍㄨㄚ
咖啡,ㄎㄚ ㄈㄟ
雪,ㄒㄩㄝˇ
药,ㄧㄠˋ
手机,ㄕㄡˇ ㄐㄧ
手表,ㄕㄡˇ ㄅㄧㄠˇ
眼睛,ㄧㄢˇ ㄐㄧㄥ˙
身体,ㄕㄣ ㄊㄧˇ
公共汽车,ㄍㄨㄥ ㄍㄨㄥˋ ㄑㄧˋ ㄔㄜ
报纸,ㄅㄠˋ ㄓˇ
门,ㄇㄣˊ
题,ㄊㄧˊ
课,ㄎㄜˋ
姓,ㄒㄧㄥˋ
问题,ㄨㄣˋ ㄊㄧˊ
事情,ㄕˋ ㄑㄧㄥ˙
考试,ㄎㄠˇ ㄕˋ
票,ㄆㄧㄠˋ
意思,ㄧˋ ㄙ˙
颜色,ㄧㄢˊ ㄙㄜˋ
铅笔,ㄑㄧㄢ ㄅㄧˇ
面条,ㄇㄧㄢˋ ㄊㄧㄠˊ
火车站,ㄏㄨㄛˇ ㄔㄜ ㄓㄢˋ
公司,ㄍㄨㄥ ㄙ
宾馆,ㄅㄧㄣ ㄍㄨㄢˇ
说话,ㄕㄨㄛ ㄏㄨㄚˋ
卖,ㄇㄞˋ
问,ㄨㄣˋ
走,ㄗㄡˇ
进,ㄐㄧㄣˋ
出,ㄔㄨ
跑步,ㄆㄠˇㄅㄨˋ
到,ㄉㄠˋ
穿,ㄔㄨㄢ
洗,ㄒㄧˇ
给,ㄍㄟˇ
找,ㄓㄠˇ
懂,ㄉㄨㄥˇ
笑,ㄒㄧㄠˋ
告诉,ㄍㄠˋ ㄙㄨˋ
准备,ㄓㄨㄣˇ ㄅㄟˋ
开始,ㄎㄞ ㄕˇ
介绍,ㄐㄧㄝˋ ㄕㄠˋ
帮助,ㄅㄤ ㄓㄨˋ
玩,ㄨㄢˊ
送,ㄙㄨㄥˋ
等,ㄉㄥˇ
让,ㄖㄤˋ
起床,ㄑㄧˇㄔㄨㄤˊ
唱歌,ㄔㄤˋㄍㄜ
跳舞,ㄊㄧㄠˋ ㄨˇ
旅游,ㄌㄩˇ ㄧㄡˊ
上班,ㄕㄤˋㄅㄢ
生病,ㄕㄥ ㄅㄧㄥˋ
休息,ㄒㄧㄡ ㄒㄧ˙
运动,ㄨㄣˋㄉㄨㄥˋ
游泳,ㄧㄡˊ ㄩㄥˇ
踢足球,ㄊㄧㄗㄨˊㄑㄧㄡˊ
打篮球,ㄉㄚˇ ㄌㄢˊ ㄑㄧㄡˊ
完,ㄨㄢˊ
觉得,ㄐㄩㄝˊㄉㄜ˙
知道,ㄓㄉㄠˋ
希望,ㄒㄧㄨㄤˋ
可以,ㄎㄜˇㄧˇ
要,ㄧㄠˋ
可能,ㄎㄜˇㄋㄥˊ
高,ㄍㄠ
红,ㄏㄨㄥˊ
白,ㄅㄞˊ
黑,ㄏㄟ
忙,ㄇㄤˊ
快,ㄎㄨㄞˋ
慢,ㄇㄢˋ
远,ㄨㄢˇ
近,ㄐㄧㄣˋ
好吃,ㄏㄠˇㄔㄧ
累,ㄌㄟˋ
长,ㄓㄤˇ
新,ㄒㄧㄣ
贵,ㄍㄨㄟˋ
便宜,ㄅㄧㄢˋㄧ˙
晴,ㄑㄧㄥˊ
阴,ㄧㄣ
错,ㄘㄨㄛˋ
快乐,ㄎㄨㄞˋㄌㄜˋ
对,ㄉㄨㄟˋ
